,Posts,Annotator Race,Annotator Gender,Annotator Politics,offensiveYN,OffensiveY Score,Neutral Score,OffensiveN Score,Prediction
0,Fuc u say ? &#8220;@AyyyeThatsChubb: All these hoes look good on IG&#8221; http://t.co/PlsFL84cDp,white,woman,other,1.0,0.5065376,0.16769215,0.32577023,0
1,Fuc u say ? &#8220;@AyyyeThatsChubb: All these hoes look good on IG&#8221; http://t.co/PlsFL84cDp,white,man,liberal,0.0,0.5065376,0.16769215,0.32577023,0
2,Fuc u say ? &#8220;@AyyyeThatsChubb: All these hoes look good on IG&#8221; http://t.co/PlsFL84cDp,white,man,mod-liberal,0.5,0.5065376,0.16769215,0.32577023,0
3,Yo hoe is like a tick so she hunting for a blood,white,man,cons,1.0,0.8323786,0.065452114,0.1021693,0
4,Yo hoe is like a tick so she hunting for a blood,white,woman,mod-cons,0.5,0.8323786,0.065452114,0.1021693,0
5,Yo hoe is like a tick so she hunting for a blood,white,woman,other,1.0,0.8323786,0.065452114,0.1021693,0
6,"When u hitting it from the back u gotta call her ""bitch"" they love that but don't u dare call em ""slut""",white,man,mod-liberal,1.0,0.72870356,0.10056439,0.170732,0
7,"When u hitting it from the back u gotta call her ""bitch"" they love that but don't u dare call em ""slut""",white,man,mod-liberal,1.0,0.72870356,0.10056439,0.170732,0
8,Studying for this bio test like a hoe &#128554;,white,man,liberal,1.0,0.34222686,0.15837508,0.4993981,2
9,Studying for this bio test like a hoe &#128554;,white,man,cons,0.0,0.34222686,0.15837508,0.4993981,2
10,Studying for this bio test like a hoe &#128554;,asian,woman,liberal,0.0,0.34222686,0.15837508,0.4993981,2
11,You niggas talking to these females trying to get some pussy but dont realize you're only boosting their ego and getting curved.,white,man,mod-liberal,1.0,0.7969193,0.09480737,0.10827342,0
12,You niggas talking to these females trying to get some pussy but dont realize you're only boosting their ego and getting curved.,white,man,mod-liberal,1.0,0.7969193,0.09480737,0.10827342,0
13,Fuck you bitches who send dudes to child support court just because you're petty,white,woman,liberal,0.5,0.593063,0.14533633,0.26160067,0
14,Fuck you bitches who send dudes to child support court just because you're petty,white,woman,liberal,0.5,0.593063,0.14533633,0.26160067,0
15,A Nigguh spitting dat crack to your bitch,white,man,mod-liberal,1.0,0.76095706,0.10834907,0.13069393,0
16,A Nigguh spitting dat crack to your bitch,white,man,mod-liberal,1.0,0.76095706,0.10834907,0.13069393,0
17,RT @YoungAmari_: Dizzy bitch &#128530;&#128564;,white,woman,liberal,0.0,0.4332637,0.17301491,0.39372134,0
18,RT @YoungAmari_: Dizzy bitch &#128530;&#128564;,white,woman,other,1.0,0.4332637,0.17301491,0.39372134,0
19,RT @YoungAmari_: Dizzy bitch &#128530;&#128564;,white,woman,liberal,0.5,0.4332637,0.17301491,0.39372134,0
20,RT @lesxo_: cant turn a hoe into a husband either,white,woman,liberal,1.0,0.64568734,0.12419811,0.23011453,0
21,RT @lesxo_: cant turn a hoe into a husband either,white,woman,liberal,1.0,0.64568734,0.12419811,0.23011453,0
22,"""@ReachtheeCLIMAX: bitches can't cook but know how to suck dick .."" s/o to the ones that can do both!",white,woman,liberal,1.0,0.76189035,0.102308236,0.13580137,0
23,"""@ReachtheeCLIMAX: bitches can't cook but know how to suck dick .."" s/o to the ones that can do both!",white,woman,liberal,1.0,0.76189035,0.102308236,0.13580137,0
24,"Like the hoes when they lay w/ me.. Puppy eyes when I go, Sayin stay wit me",white,man,mod-liberal,0.0,0.4437509,0.09301524,0.4632339,2
25,"Like the hoes when they lay w/ me.. Puppy eyes when I go, Sayin stay wit me",asian,man,liberal,0.0,0.4437509,0.09301524,0.4632339,2
26,"Like the hoes when they lay w/ me.. Puppy eyes when I go, Sayin stay wit me",white,woman,liberal,0.0,0.4437509,0.09301524,0.4632339,2
27,RT @blackrepublican: Spike Lee is one of those [wealthy] people he bitches about that's causing gentrification.,white,woman,liberal,,0.35278568,0.17109653,0.47611785,2
28,RT @blackrepublican: Spike Lee is one of those [wealthy] people he bitches about that's causing gentrification.,white,woman,other,1.0,0.35278568,0.17109653,0.47611785,2
29,RT @blackrepublican: Spike Lee is one of those [wealthy] people he bitches about that's causing gentrification.,white,woman,na,0.0,0.35278568,0.17109653,0.47611785,2
30,"Dear Utah Polynesians: Again, stop acting black and speaking ghetto. Speak FOB, you ain't no ghetto niggaz.",black,woman,mod-liberal,1.0,0.7581519,0.14162028,0.10022786,0
31,"Dear Utah Polynesians: Again, stop acting black and speaking ghetto. Speak FOB, you ain't no ghetto niggaz.",black,woman,mod-liberal,1.0,0.7581519,0.14162028,0.10022786,0
32,i ran out &#128553; RT @sadonna_rae: This hoe just texted me asking to borrow a roll of tissue until tomorrow &#128555;&#128555;&#128557;&#128557;&#128557;,white,woman,liberal,0.0,0.4423829,0.1444647,0.41315237,0
33,i ran out &#128553; RT @sadonna_rae: This hoe just texted me asking to borrow a roll of tissue until tomorrow &#128555;&#128555;&#128557;&#128557;&#128557;,white,man,cons,0.5,0.4423829,0.1444647,0.41315237,0
34,i ran out &#128553; RT @sadonna_rae: This hoe just texted me asking to borrow a roll of tissue until tomorrow &#128555;&#128555;&#128557;&#128557;&#128557;,white,man,liberal,0.0,0.4423829,0.1444647,0.41315237,0
35,Niggas swear they don't trust these hoes but be fucking raw &#128528;&#128514;smh,white,woman,liberal,0.0,0.7421634,0.119743355,0.1380932,0
36,Niggas swear they don't trust these hoes but be fucking raw &#128528;&#128514;smh,white,woman,liberal,0.5,0.7421634,0.119743355,0.1380932,0
37,Niggas swear they don't trust these hoes but be fucking raw &#128528;&#128514;smh,white,man,mod-liberal,0.0,0.7421634,0.119743355,0.1380932,0
38,@YourDudeFerg gay fags,white,woman,liberal,1.0,0.79393566,0.124641284,0.08142307,0
39,@YourDudeFerg gay fags,white,woman,liberal,1.0,0.79393566,0.124641284,0.08142307,0
40,@YourDudeFerg gay fags,white,woman,mod-cons,0.5,0.79393566,0.124641284,0.08142307,0
41,@YourDudeFerg gay fags,white,woman,mod-cons,0.5,0.79393566,0.124641284,0.08142307,0
42,@YourDudeFerg gay fags,white,woman,liberal,1.0,0.79393566,0.124641284,0.08142307,0
43,@YourDudeFerg gay fags,white,woman,liberal,1.0,0.79393566,0.124641284,0.08142307,0
44,RT @iLikeWGW: retweet for big booty bitches,white,woman,other,0.0,0.47936326,0.15381338,0.3668234,0
45,RT @iLikeWGW: retweet for big booty bitches,white,woman,liberal,1.0,0.47936326,0.15381338,0.3668234,0
46,RT @iLikeWGW: retweet for big booty bitches,white,woman,mod-cons,0.0,0.47936326,0.15381338,0.3668234,0
47,&#8220;@TheRealMFast: I hate this shit like why y'all bitches think that's cute? http://t.co/UXSzeXGUjU&#8221;&lt;total clothing violation,white,man,mod-liberal,0.0,0.56181896,0.15419391,0.28398708,0
48,&#8220;@TheRealMFast: I hate this shit like why y'all bitches think that's cute? http://t.co/UXSzeXGUjU&#8221;&lt;total clothing violation,white,woman,mod-cons,0.5,0.56181896,0.15419391,0.28398708,0
49,&#8220;@TheRealMFast: I hate this shit like why y'all bitches think that's cute? http://t.co/UXSzeXGUjU&#8221;&lt;total clothing violation,white,woman,other,0.0,0.56181896,0.15419391,0.28398708,0
50,bitches dumb,white,woman,mod-cons,1.0,0.43331045,0.14916427,0.41752526,0
51,bitches dumb,white,woman,mod-cons,1.0,0.43331045,0.14916427,0.41752526,0
