,Posts,Annotator Race,Annotator Gender,Annotator Politics,offensiveYN,OffensiveY Score,Neutral Score,OffensiveN Score,Prediction
0,Fuc u say ? &#8220;@AyyyeThatsChubb: All these hoes look good on IG&#8221; http://t.co/PlsFL84cDp,white,woman,other,1.0,0.008843206,0.008178628,0.98297817,2
1,Fuc u say ? &#8220;@AyyyeThatsChubb: All these hoes look good on IG&#8221; http://t.co/PlsFL84cDp,white,man,liberal,0.0,0.008843206,0.008178628,0.98297817,2
2,Fuc u say ? &#8220;@AyyyeThatsChubb: All these hoes look good on IG&#8221; http://t.co/PlsFL84cDp,white,man,mod-liberal,0.5,0.008843206,0.008178628,0.98297817,2
3,Yo hoe is like a tick so she hunting for a blood,white,man,cons,1.0,0.5659859,0.3047307,0.12928337,0
4,Yo hoe is like a tick so she hunting for a blood,white,woman,mod-cons,0.5,0.5659859,0.3047307,0.12928337,0
5,Yo hoe is like a tick so she hunting for a blood,white,woman,other,1.0,0.5659859,0.3047307,0.12928337,0
6,"When u hitting it from the back u gotta call her ""bitch"" they love that but don't u dare call em ""slut""",white,man,mod-liberal,1.0,0.08092939,0.07905466,0.8400159,2
7,"When u hitting it from the back u gotta call her ""bitch"" they love that but don't u dare call em ""slut""",white,man,mod-liberal,1.0,0.08092939,0.07905466,0.8400159,2
8,Studying for this bio test like a hoe &#128554;,white,man,liberal,1.0,0.0026067758,0.009460987,0.98793226,2
9,Studying for this bio test like a hoe &#128554;,white,man,cons,0.0,0.0026067758,0.009460987,0.98793226,2
10,Studying for this bio test like a hoe &#128554;,asian,woman,liberal,0.0,0.0026067758,0.009460987,0.98793226,2
11,You niggas talking to these females trying to get some pussy but dont realize you're only boosting their ego and getting curved.,white,man,mod-liberal,1.0,0.017159782,0.031193966,0.9516463,2
12,You niggas talking to these females trying to get some pussy but dont realize you're only boosting their ego and getting curved.,white,man,mod-liberal,1.0,0.017159782,0.031193966,0.9516463,2
13,Fuck you bitches who send dudes to child support court just because you're petty,white,woman,liberal,0.5,0.7604005,0.034740556,0.20485899,0
14,Fuck you bitches who send dudes to child support court just because you're petty,white,woman,liberal,0.5,0.7604005,0.034740556,0.20485899,0
15,A Nigguh spitting dat crack to your bitch,white,man,mod-liberal,1.0,0.9841277,0.012485502,0.0033867836,0
16,A Nigguh spitting dat crack to your bitch,white,man,mod-liberal,1.0,0.9841277,0.012485502,0.0033867836,0
17,RT @YoungAmari_: Dizzy bitch &#128530;&#128564;,white,woman,liberal,0.0,0.8868265,0.03836035,0.07481311,0
18,RT @YoungAmari_: Dizzy bitch &#128530;&#128564;,white,woman,other,1.0,0.8868265,0.03836035,0.07481311,0
19,RT @YoungAmari_: Dizzy bitch &#128530;&#128564;,white,woman,liberal,0.5,0.8868265,0.03836035,0.07481311,0
20,RT @lesxo_: cant turn a hoe into a husband either,white,woman,liberal,1.0,0.008186589,0.015535417,0.976278,2
21,RT @lesxo_: cant turn a hoe into a husband either,white,woman,liberal,1.0,0.008186589,0.015535417,0.976278,2
22,"""@ReachtheeCLIMAX: bitches can't cook but know how to suck dick .."" s/o to the ones that can do both!",white,woman,liberal,1.0,0.0018772135,0.010388776,0.9877341,2
23,"""@ReachtheeCLIMAX: bitches can't cook but know how to suck dick .."" s/o to the ones that can do both!",white,woman,liberal,1.0,0.0018772135,0.010388776,0.9877341,2
24,"Like the hoes when they lay w/ me.. Puppy eyes when I go, Sayin stay wit me",white,man,mod-liberal,0.0,0.0038902832,0.029198198,0.9669115,2
25,"Like the hoes when they lay w/ me.. Puppy eyes when I go, Sayin stay wit me",asian,man,liberal,0.0,0.0038902832,0.029198198,0.9669115,2
26,"Like the hoes when they lay w/ me.. Puppy eyes when I go, Sayin stay wit me",white,woman,liberal,0.0,0.0038902832,0.029198198,0.9669115,2
27,RT @blackrepublican: Spike Lee is one of those [wealthy] people he bitches about that's causing gentrification.,white,woman,liberal,,0.019332418,0.008282353,0.9723852,2
28,RT @blackrepublican: Spike Lee is one of those [wealthy] people he bitches about that's causing gentrification.,white,woman,other,1.0,0.019332418,0.008282353,0.9723852,2
29,RT @blackrepublican: Spike Lee is one of those [wealthy] people he bitches about that's causing gentrification.,white,woman,na,0.0,0.019332418,0.008282353,0.9723852,2
30,"Dear Utah Polynesians: Again, stop acting black and speaking ghetto. Speak FOB, you ain't no ghetto niggaz.",black,woman,mod-liberal,1.0,0.59994483,0.05283375,0.34722143,0
31,"Dear Utah Polynesians: Again, stop acting black and speaking ghetto. Speak FOB, you ain't no ghetto niggaz.",black,woman,mod-liberal,1.0,0.59994483,0.05283375,0.34722143,0
32,i ran out &#128553; RT @sadonna_rae: This hoe just texted me asking to borrow a roll of tissue until tomorrow &#128555;&#128555;&#128557;&#128557;&#128557;,white,woman,liberal,0.0,0.72030705,0.07711537,0.20257758,0
33,i ran out &#128553; RT @sadonna_rae: This hoe just texted me asking to borrow a roll of tissue until tomorrow &#128555;&#128555;&#128557;&#128557;&#128557;,white,man,cons,0.5,0.72030705,0.07711537,0.20257758,0
34,i ran out &#128553; RT @sadonna_rae: This hoe just texted me asking to borrow a roll of tissue until tomorrow &#128555;&#128555;&#128557;&#128557;&#128557;,white,man,liberal,0.0,0.72030705,0.07711537,0.20257758,0
35,Niggas swear they don't trust these hoes but be fucking raw &#128528;&#128514;smh,white,woman,liberal,0.0,0.37934947,0.18059742,0.4400531,2
36,Niggas swear they don't trust these hoes but be fucking raw &#128528;&#128514;smh,white,woman,liberal,0.5,0.37934947,0.18059742,0.4400531,2
37,Niggas swear they don't trust these hoes but be fucking raw &#128528;&#128514;smh,white,man,mod-liberal,0.0,0.37934947,0.18059742,0.4400531,2
38,@YourDudeFerg gay fags,white,woman,liberal,1.0,0.9764189,0.017953731,0.005627367,0
39,@YourDudeFerg gay fags,white,woman,liberal,1.0,0.9764189,0.017953731,0.005627367,0
40,@YourDudeFerg gay fags,white,woman,mod-cons,0.5,0.9764189,0.017953731,0.005627367,0
41,@YourDudeFerg gay fags,white,woman,mod-cons,0.5,0.9764189,0.017953731,0.005627367,0
42,@YourDudeFerg gay fags,white,woman,liberal,1.0,0.9764189,0.017953731,0.005627367,0
43,@YourDudeFerg gay fags,white,woman,liberal,1.0,0.9764189,0.017953731,0.005627367,0
44,RT @iLikeWGW: retweet for big booty bitches,white,woman,other,0.0,0.0005679037,0.0042291842,0.9952029,2
45,RT @iLikeWGW: retweet for big booty bitches,white,woman,liberal,1.0,0.0005679037,0.0042291842,0.9952029,2
46,RT @iLikeWGW: retweet for big booty bitches,white,woman,mod-cons,0.0,0.0005679037,0.0042291842,0.9952029,2
47,&#8220;@TheRealMFast: I hate this shit like why y'all bitches think that's cute? http://t.co/UXSzeXGUjU&#8221;&lt;total clothing violation,white,man,mod-liberal,0.0,0.015924059,0.014163151,0.9699128,2
48,&#8220;@TheRealMFast: I hate this shit like why y'all bitches think that's cute? http://t.co/UXSzeXGUjU&#8221;&lt;total clothing violation,white,woman,mod-cons,0.5,0.015924059,0.014163151,0.9699128,2
49,&#8220;@TheRealMFast: I hate this shit like why y'all bitches think that's cute? http://t.co/UXSzeXGUjU&#8221;&lt;total clothing violation,white,woman,other,0.0,0.015924059,0.014163151,0.9699128,2
50,bitches dumb,white,woman,mod-cons,1.0,0.0007177179,0.004328393,0.9949538,2
51,bitches dumb,white,woman,mod-cons,1.0,0.0007177179,0.004328393,0.9949538,2
52,Y'all lonely ass bitches sure do give out a lot of relationship advice....,asian,woman,liberal,1.0,0.009200034,0.007334906,0.9834651,2
53,Y'all lonely ass bitches sure do give out a lot of relationship advice....,white,man,mod-liberal,0.0,0.009200034,0.007334906,0.9834651,2
54,Y'all lonely ass bitches sure do give out a lot of relationship advice....,white,woman,liberal,1.0,0.009200034,0.007334906,0.9834651,2
55,"""@ARIZZLEINDACUT: Females think dating a pussy is cute now? http://t.co/VxBJg26Gsz"" how does doing this stuff make him a pussy?",white,man,cons,1.0,0.0024536415,0.0076767644,0.98986953,2
56,"""@ARIZZLEINDACUT: Females think dating a pussy is cute now? http://t.co/VxBJg26Gsz"" how does doing this stuff make him a pussy?",white,man,cons,1.0,0.0024536415,0.0076767644,0.98986953,2
