,Posts,Annotator Race,Annotator Gender,Annotator Politics,offensiveYN,OffensiveY Score,Neutral Score,OffensiveN Score,Prediction
0,Fuc u say ? &#8220;@AyyyeThatsChubb: All these hoes look good on IG&#8221; http://t.co/PlsFL84cDp,white,woman,other,1.0,0.81551015,0.04673245,0.13775732,0
1,Fuc u say ? &#8220;@AyyyeThatsChubb: All these hoes look good on IG&#8221; http://t.co/PlsFL84cDp,white,man,liberal,0.0,0.81551015,0.04673245,0.13775732,0
2,Fuc u say ? &#8220;@AyyyeThatsChubb: All these hoes look good on IG&#8221; http://t.co/PlsFL84cDp,white,man,mod-liberal,0.5,0.81551015,0.04673245,0.13775732,0
3,Yo hoe is like a tick so she hunting for a blood,white,man,cons,1.0,0.87841964,0.042388387,0.07919193,0
4,Yo hoe is like a tick so she hunting for a blood,white,woman,mod-cons,0.5,0.87841964,0.042388387,0.07919193,0
5,Yo hoe is like a tick so she hunting for a blood,white,woman,other,1.0,0.87841964,0.042388387,0.07919193,0
6,"When u hitting it from the back u gotta call her ""bitch"" they love that but don't u dare call em ""slut""",white,man,mod-liberal,1.0,0.6049567,0.04628622,0.34875706,0
7,"When u hitting it from the back u gotta call her ""bitch"" they love that but don't u dare call em ""slut""",white,man,mod-liberal,1.0,0.6049567,0.04628622,0.34875706,0
8,Studying for this bio test like a hoe &#128554;,white,man,liberal,1.0,0.66596246,0.07298806,0.26104948,0
9,Studying for this bio test like a hoe &#128554;,white,man,cons,0.0,0.66596246,0.07298806,0.26104948,0
10,Studying for this bio test like a hoe &#128554;,asian,woman,liberal,0.0,0.66596246,0.07298806,0.26104948,0
11,You niggas talking to these females trying to get some pussy but dont realize you're only boosting their ego and getting curved.,white,man,mod-liberal,1.0,0.9046384,0.026684899,0.068676725,0
12,You niggas talking to these females trying to get some pussy but dont realize you're only boosting their ego and getting curved.,white,man,mod-liberal,1.0,0.9046384,0.026684899,0.068676725,0
13,Fuck you bitches who send dudes to child support court just because you're petty,white,woman,liberal,0.5,0.8726942,0.037455283,0.089850545,0
14,Fuck you bitches who send dudes to child support court just because you're petty,white,woman,liberal,0.5,0.8726942,0.037455283,0.089850545,0
15,A Nigguh spitting dat crack to your bitch,white,man,mod-liberal,1.0,0.9122839,0.032714758,0.055001333,0
16,A Nigguh spitting dat crack to your bitch,white,man,mod-liberal,1.0,0.9122839,0.032714758,0.055001333,0
17,RT @YoungAmari_: Dizzy bitch &#128530;&#128564;,white,woman,liberal,0.0,0.27775592,0.10871769,0.61352634,2
18,RT @YoungAmari_: Dizzy bitch &#128530;&#128564;,white,woman,other,1.0,0.27775592,0.10871769,0.61352634,2
19,RT @YoungAmari_: Dizzy bitch &#128530;&#128564;,white,woman,liberal,0.5,0.27775592,0.10871769,0.61352634,2
20,RT @lesxo_: cant turn a hoe into a husband either,white,woman,liberal,1.0,0.85978806,0.05737764,0.082834296,0
21,RT @lesxo_: cant turn a hoe into a husband either,white,woman,liberal,1.0,0.85978806,0.05737764,0.082834296,0
22,"""@ReachtheeCLIMAX: bitches can't cook but know how to suck dick .."" s/o to the ones that can do both!",white,woman,liberal,1.0,0.8645753,0.04304467,0.09237999,0
23,"""@ReachtheeCLIMAX: bitches can't cook but know how to suck dick .."" s/o to the ones that can do both!",white,woman,liberal,1.0,0.8645753,0.04304467,0.09237999,0
24,"Like the hoes when they lay w/ me.. Puppy eyes when I go, Sayin stay wit me",white,man,mod-liberal,0.0,0.6268406,0.04540818,0.32775122,0
25,"Like the hoes when they lay w/ me.. Puppy eyes when I go, Sayin stay wit me",asian,man,liberal,0.0,0.6268406,0.04540818,0.32775122,0
26,"Like the hoes when they lay w/ me.. Puppy eyes when I go, Sayin stay wit me",white,woman,liberal,0.0,0.6268406,0.04540818,0.32775122,0
27,RT @blackrepublican: Spike Lee is one of those [wealthy] people he bitches about that's causing gentrification.,white,woman,liberal,,0.66895944,0.07161814,0.25942245,0
28,RT @blackrepublican: Spike Lee is one of those [wealthy] people he bitches about that's causing gentrification.,white,woman,other,1.0,0.66895944,0.07161814,0.25942245,0
29,RT @blackrepublican: Spike Lee is one of those [wealthy] people he bitches about that's causing gentrification.,white,woman,na,0.0,0.66895944,0.07161814,0.25942245,0
30,"Dear Utah Polynesians: Again, stop acting black and speaking ghetto. Speak FOB, you ain't no ghetto niggaz.",black,woman,mod-liberal,1.0,0.95797986,0.02035373,0.021666434,0
31,"Dear Utah Polynesians: Again, stop acting black and speaking ghetto. Speak FOB, you ain't no ghetto niggaz.",black,woman,mod-liberal,1.0,0.95797986,0.02035373,0.021666434,0
32,i ran out &#128553; RT @sadonna_rae: This hoe just texted me asking to borrow a roll of tissue until tomorrow &#128555;&#128555;&#128557;&#128557;&#128557;,white,woman,liberal,0.0,0.66357726,0.06673772,0.269685,0
33,i ran out &#128553; RT @sadonna_rae: This hoe just texted me asking to borrow a roll of tissue until tomorrow &#128555;&#128555;&#128557;&#128557;&#128557;,white,man,cons,0.5,0.66357726,0.06673772,0.269685,0
34,i ran out &#128553; RT @sadonna_rae: This hoe just texted me asking to borrow a roll of tissue until tomorrow &#128555;&#128555;&#128557;&#128557;&#128557;,white,man,liberal,0.0,0.66357726,0.06673772,0.269685,0
35,Niggas swear they don't trust these hoes but be fucking raw &#128528;&#128514;smh,white,woman,liberal,0.0,0.9164943,0.0301593,0.053346362,0
36,Niggas swear they don't trust these hoes but be fucking raw &#128528;&#128514;smh,white,woman,liberal,0.5,0.9164943,0.0301593,0.053346362,0
37,Niggas swear they don't trust these hoes but be fucking raw &#128528;&#128514;smh,white,man,mod-liberal,0.0,0.9164943,0.0301593,0.053346362,0
38,@YourDudeFerg gay fags,white,woman,liberal,1.0,0.90299386,0.042564828,0.054441243,0
39,@YourDudeFerg gay fags,white,woman,liberal,1.0,0.90299386,0.042564828,0.054441243,0
40,@YourDudeFerg gay fags,white,woman,mod-cons,0.5,0.90299386,0.042564828,0.054441243,0
41,@YourDudeFerg gay fags,white,woman,mod-cons,0.5,0.90299386,0.042564828,0.054441243,0
42,@YourDudeFerg gay fags,white,woman,liberal,1.0,0.90299386,0.042564828,0.054441243,0
43,@YourDudeFerg gay fags,white,woman,liberal,1.0,0.90299386,0.042564828,0.054441243,0
44,RT @iLikeWGW: retweet for big booty bitches,white,woman,other,0.0,0.61423594,0.060817596,0.32494643,0
45,RT @iLikeWGW: retweet for big booty bitches,white,woman,liberal,1.0,0.61423594,0.060817596,0.32494643,0
46,RT @iLikeWGW: retweet for big booty bitches,white,woman,mod-cons,0.0,0.61423594,0.060817596,0.32494643,0
47,&#8220;@TheRealMFast: I hate this shit like why y'all bitches think that's cute? http://t.co/UXSzeXGUjU&#8221;&lt;total clothing violation,white,man,mod-liberal,0.0,0.8248676,0.047268678,0.12786373,0
48,&#8220;@TheRealMFast: I hate this shit like why y'all bitches think that's cute? http://t.co/UXSzeXGUjU&#8221;&lt;total clothing violation,white,woman,mod-cons,0.5,0.8248676,0.047268678,0.12786373,0
49,&#8220;@TheRealMFast: I hate this shit like why y'all bitches think that's cute? http://t.co/UXSzeXGUjU&#8221;&lt;total clothing violation,white,woman,other,0.0,0.8248676,0.047268678,0.12786373,0
50,bitches dumb,white,woman,mod-cons,1.0,0.6899797,0.093014546,0.21700574,0
51,bitches dumb,white,woman,mod-cons,1.0,0.6899797,0.093014546,0.21700574,0
52,Y'all lonely ass bitches sure do give out a lot of relationship advice....,asian,woman,liberal,1.0,0.8251789,0.042719807,0.1321013,0
53,Y'all lonely ass bitches sure do give out a lot of relationship advice....,white,man,mod-liberal,0.0,0.8251789,0.042719807,0.1321013,0
54,Y'all lonely ass bitches sure do give out a lot of relationship advice....,white,woman,liberal,1.0,0.8251789,0.042719807,0.1321013,0
55,"""@ARIZZLEINDACUT: Females think dating a pussy is cute now? http://t.co/VxBJg26Gsz"" how does doing this stuff make him a pussy?",white,man,cons,1.0,0.85326296,0.03867981,0.10805729,0
56,"""@ARIZZLEINDACUT: Females think dating a pussy is cute now? http://t.co/VxBJg26Gsz"" how does doing this stuff make him a pussy?",white,man,cons,1.0,0.85326296,0.03867981,0.10805729,0
57,"""@ARIZZLEINDACUT: Females think dating a pussy is cute now? http://t.co/VxBJg26Gsz"" how does doing this stuff make him a pussy?",white,man,mod-liberal,0.5,0.85326296,0.03867981,0.10805729,0
58,"""@ARIZZLEINDACUT: Females think dating a pussy is cute now? http://t.co/VxBJg26Gsz"" how does doing this stuff make him a pussy?",white,man,mod-liberal,0.5,0.85326296,0.03867981,0.10805729,0
59,"""@ARIZZLEINDACUT: Females think dating a pussy is cute now? http://t.co/VxBJg26Gsz"" how does doing this stuff make him a pussy?",white,man,cons,1.0,0.85326296,0.03867981,0.10805729,0
60,"""@ARIZZLEINDACUT: Females think dating a pussy is cute now? http://t.co/VxBJg26Gsz"" how does doing this stuff make him a pussy?",white,man,cons,1.0,0.85326296,0.03867981,0.10805729,0
61,@StephyRae7 hii fag. :),white,man,mod-liberal,1.0,0.5649118,0.07949802,0.3555902,0
62,@StephyRae7 hii fag. :),white,man,mod-liberal,1.0,0.5649118,0.07949802,0.3555902,0
63,That bitch got 5 million boyfriends,white,man,liberal,1.0,0.891917,0.034583375,0.07349955,0
64,That bitch got 5 million boyfriends,white,woman,liberal,0.5,0.891917,0.034583375,0.07349955,0
65,That bitch got 5 million boyfriends,white,woman,mod-cons,1.0,0.891917,0.034583375,0.07349955,0
66,Just straight ignorant bitches #WhereTheyHeadsAt,white,woman,mod-liberal,0.5,0.89792335,0.038538095,0.06353857,0
67,Just straight ignorant bitches #WhereTheyHeadsAt,white,woman,mod-cons,1.0,0.89792335,0.038538095,0.06353857,0
68,Just straight ignorant bitches #WhereTheyHeadsAt,white,man,cons,1.0,0.89792335,0.038538095,0.06353857,0
69,Why do so many filthy wetback half-breed spic savages live in #LosAngeles? None of them have any right at all to be here.,white,woman,liberal,1.0,0.9126106,0.038261123,0.049128253,0
70,Why do so many filthy wetback half-breed spic savages live in #LosAngeles? None of them have any right at all to be here.,white,woman,liberal,1.0,0.9126106,0.038261123,0.049128253,0
71,Why do so many filthy wetback half-breed spic savages live in #LosAngeles? None of them have any right at all to be here.,white,woman,liberal,1.0,0.9126106,0.038261123,0.049128253,0
72,Why do so many filthy wetback half-breed spic savages live in #LosAngeles? None of them have any right at all to be here.,hisp,woman,mod-liberal,1.0,0.9126106,0.038261123,0.049128253,0
73,Why do so many filthy wetback half-breed spic savages live in #LosAngeles? None of them have any right at all to be here.,hisp,woman,mod-liberal,1.0,0.9126106,0.038261123,0.049128253,0
