,Posts,Annotator Race,Annotator Gender,Annotator Politics,offensiveYN,OffensiveY Score,Neutral Score,OffensiveN Score,Prediction
0,Fuc u say ? &#8220;@AyyyeThatsChubb: All these hoes look good on IG&#8221; http://t.co/PlsFL84cDp,white,woman,other,1.0,0.5733825,0.2758686,0.15074891,0
1,Fuc u say ? &#8220;@AyyyeThatsChubb: All these hoes look good on IG&#8221; http://t.co/PlsFL84cDp,white,man,liberal,0.0,0.5733825,0.2758686,0.15074891,0
2,Fuc u say ? &#8220;@AyyyeThatsChubb: All these hoes look good on IG&#8221; http://t.co/PlsFL84cDp,white,man,mod-liberal,0.5,0.5733825,0.2758686,0.15074891,0
3,Yo hoe is like a tick so she hunting for a blood,white,man,cons,1.0,0.84991986,0.12007431,0.030005842,0
4,Yo hoe is like a tick so she hunting for a blood,white,woman,mod-cons,0.5,0.84991986,0.12007431,0.030005842,0
5,Yo hoe is like a tick so she hunting for a blood,white,woman,other,1.0,0.84991986,0.12007431,0.030005842,0
6,"When u hitting it from the back u gotta call her ""bitch"" they love that but don't u dare call em ""slut""",white,man,mod-liberal,1.0,0.85112745,0.09775842,0.051114175,0
7,"When u hitting it from the back u gotta call her ""bitch"" they love that but don't u dare call em ""slut""",white,man,mod-liberal,1.0,0.85112745,0.09775842,0.051114175,0
8,Studying for this bio test like a hoe &#128554;,white,man,liberal,1.0,0.69137925,0.24175076,0.066870034,0
9,Studying for this bio test like a hoe &#128554;,white,man,cons,0.0,0.69137925,0.24175076,0.066870034,0
10,Studying for this bio test like a hoe &#128554;,asian,woman,liberal,0.0,0.69137925,0.24175076,0.066870034,0
11,You niggas talking to these females trying to get some pussy but dont realize you're only boosting their ego and getting curved.,white,man,mod-liberal,1.0,0.76741695,0.17056629,0.062016796,0
12,You niggas talking to these females trying to get some pussy but dont realize you're only boosting their ego and getting curved.,white,man,mod-liberal,1.0,0.76741695,0.17056629,0.062016796,0
13,Fuck you bitches who send dudes to child support court just because you're petty,white,woman,liberal,0.5,0.85342675,0.11216409,0.03440914,0
14,Fuck you bitches who send dudes to child support court just because you're petty,white,woman,liberal,0.5,0.85342675,0.11216409,0.03440914,0
15,A Nigguh spitting dat crack to your bitch,white,man,mod-liberal,1.0,0.91750795,0.07349719,0.00899493,0
16,A Nigguh spitting dat crack to your bitch,white,man,mod-liberal,1.0,0.91750795,0.07349719,0.00899493,0
17,RT @YoungAmari_: Dizzy bitch &#128530;&#128564;,white,woman,liberal,0.0,0.8021902,0.1631104,0.034699343,0
18,RT @YoungAmari_: Dizzy bitch &#128530;&#128564;,white,woman,other,1.0,0.8021902,0.1631104,0.034699343,0
19,RT @YoungAmari_: Dizzy bitch &#128530;&#128564;,white,woman,liberal,0.5,0.8021902,0.1631104,0.034699343,0
20,RT @lesxo_: cant turn a hoe into a husband either,white,woman,liberal,1.0,0.6573229,0.26950145,0.07317566,0
