,Posts,Annotator Race,Annotator Gender,Annotator Politics,offensiveYN,OffensiveY Score,Neutral Score,OffensiveN Score,Prediction
0,Fuc u say ? &#8220;@AyyyeThatsChubb: All these hoes look good on IG&#8221; http://t.co/PlsFL84cDp,white,woman,other,1.0,0.5520504,0.14233318,0.30561644,0
1,Fuc u say ? &#8220;@AyyyeThatsChubb: All these hoes look good on IG&#8221; http://t.co/PlsFL84cDp,white,man,liberal,0.0,0.5520504,0.14233318,0.30561644,0
2,Fuc u say ? &#8220;@AyyyeThatsChubb: All these hoes look good on IG&#8221; http://t.co/PlsFL84cDp,white,man,mod-liberal,0.5,0.5520504,0.14233318,0.30561644,0
3,Yo hoe is like a tick so she hunting for a blood,white,man,cons,1.0,0.79408056,0.10456837,0.10135114,0
4,Yo hoe is like a tick so she hunting for a blood,white,woman,mod-cons,0.5,0.79408056,0.10456837,0.10135114,0
5,Yo hoe is like a tick so she hunting for a blood,white,woman,other,1.0,0.79408056,0.10456837,0.10135114,0
6,"When u hitting it from the back u gotta call her ""bitch"" they love that but don't u dare call em ""slut""",white,man,mod-liberal,1.0,0.6701637,0.1187539,0.2110824,0
7,"When u hitting it from the back u gotta call her ""bitch"" they love that but don't u dare call em ""slut""",white,man,mod-liberal,1.0,0.6701637,0.1187539,0.2110824,0
8,Studying for this bio test like a hoe &#128554;,white,man,liberal,1.0,0.43257818,0.14978729,0.41763458,0
9,Studying for this bio test like a hoe &#128554;,white,man,cons,0.0,0.43257818,0.14978729,0.41763458,0
10,Studying for this bio test like a hoe &#128554;,asian,woman,liberal,0.0,0.43257818,0.14978729,0.41763458,0
11,You niggas talking to these females trying to get some pussy but dont realize you're only boosting their ego and getting curved.,white,man,mod-liberal,1.0,0.83859473,0.08401088,0.07739445,0
12,You niggas talking to these females trying to get some pussy but dont realize you're only boosting their ego and getting curved.,white,man,mod-liberal,1.0,0.83859473,0.08401088,0.07739445,0
13,Fuck you bitches who send dudes to child support court just because you're petty,white,woman,liberal,0.5,0.79851574,0.102316104,0.099168174,0
14,Fuck you bitches who send dudes to child support court just because you're petty,white,woman,liberal,0.5,0.79851574,0.102316104,0.099168174,0
15,A Nigguh spitting dat crack to your bitch,white,man,mod-liberal,1.0,0.8391285,0.0863947,0.07447689,0
16,A Nigguh spitting dat crack to your bitch,white,man,mod-liberal,1.0,0.8391285,0.0863947,0.07447689,0
17,RT @YoungAmari_: Dizzy bitch &#128530;&#128564;,white,woman,liberal,0.0,0.53594965,0.15658069,0.3074696,0
18,RT @YoungAmari_: Dizzy bitch &#128530;&#128564;,white,woman,other,1.0,0.53594965,0.15658069,0.3074696,0
19,RT @YoungAmari_: Dizzy bitch &#128530;&#128564;,white,woman,liberal,0.5,0.53594965,0.15658069,0.3074696,0
20,RT @lesxo_: cant turn a hoe into a husband either,white,woman,liberal,1.0,0.72110695,0.12979336,0.14909975,0
21,RT @lesxo_: cant turn a hoe into a husband either,white,woman,liberal,1.0,0.72110695,0.12979336,0.14909975,0
22,"""@ReachtheeCLIMAX: bitches can't cook but know how to suck dick .."" s/o to the ones that can do both!",white,woman,liberal,1.0,0.6940312,0.12491995,0.18104887,0
23,"""@ReachtheeCLIMAX: bitches can't cook but know how to suck dick .."" s/o to the ones that can do both!",white,woman,liberal,1.0,0.6940312,0.12491995,0.18104887,0
24,"Like the hoes when they lay w/ me.. Puppy eyes when I go, Sayin stay wit me",white,man,mod-liberal,0.0,0.5586957,0.13426611,0.3070382,0
25,"Like the hoes when they lay w/ me.. Puppy eyes when I go, Sayin stay wit me",asian,man,liberal,0.0,0.5586957,0.13426611,0.3070382,0
26,"Like the hoes when they lay w/ me.. Puppy eyes when I go, Sayin stay wit me",white,woman,liberal,0.0,0.5586957,0.13426611,0.3070382,0
27,RT @blackrepublican: Spike Lee is one of those [wealthy] people he bitches about that's causing gentrification.,white,woman,liberal,,0.5391486,0.12411907,0.3367323,0
