,Posts,Annotator Race,Annotator Gender,Annotator Politics,offensiveYN,OffensiveY Score,Neutral Score,OffensiveN Score,Prediction
0,Fuc u say ? &#8220;@AyyyeThatsChubb: All these hoes look good on IG&#8221; http://t.co/PlsFL84cDp,white,woman,other,1.0,0.0012420216,0.0022666499,0.99649125,2
1,Fuc u say ? &#8220;@AyyyeThatsChubb: All these hoes look good on IG&#8221; http://t.co/PlsFL84cDp,white,man,liberal,0.0,0.0012420216,0.0022666499,0.99649125,2
2,Fuc u say ? &#8220;@AyyyeThatsChubb: All these hoes look good on IG&#8221; http://t.co/PlsFL84cDp,white,man,mod-liberal,0.5,0.0012420216,0.0022666499,0.99649125,2
3,Yo hoe is like a tick so she hunting for a blood,white,man,cons,1.0,0.99432135,0.003728936,0.0019497193,0
4,Yo hoe is like a tick so she hunting for a blood,white,woman,mod-cons,0.5,0.99432135,0.003728936,0.0019497193,0
5,Yo hoe is like a tick so she hunting for a blood,white,woman,other,1.0,0.99432135,0.003728936,0.0019497193,0
6,"When u hitting it from the back u gotta call her ""bitch"" they love that but don't u dare call em ""slut""",white,man,mod-liberal,1.0,0.9981939,0.0014659597,0.00034012998,0
7,"When u hitting it from the back u gotta call her ""bitch"" they love that but don't u dare call em ""slut""",white,man,mod-liberal,1.0,0.9981939,0.0014659597,0.00034012998,0
8,Studying for this bio test like a hoe &#128554;,white,man,liberal,1.0,0.0007196598,0.0016344982,0.9976458,2
9,Studying for this bio test like a hoe &#128554;,white,man,cons,0.0,0.0007196598,0.0016344982,0.9976458,2
10,Studying for this bio test like a hoe &#128554;,asian,woman,liberal,0.0,0.0007196598,0.0016344982,0.9976458,2
11,You niggas talking to these females trying to get some pussy but dont realize you're only boosting their ego and getting curved.,white,man,mod-liberal,1.0,0.99888605,0.0006768982,0.00043703837,0
12,You niggas talking to these females trying to get some pussy but dont realize you're only boosting their ego and getting curved.,white,man,mod-liberal,1.0,0.99888605,0.0006768982,0.00043703837,0
13,Fuck you bitches who send dudes to child support court just because you're petty,white,woman,liberal,0.5,0.9990508,0.00076118275,0.00018799887,0
14,Fuck you bitches who send dudes to child support court just because you're petty,white,woman,liberal,0.5,0.9990508,0.00076118275,0.00018799887,0
15,A Nigguh spitting dat crack to your bitch,white,man,mod-liberal,1.0,0.9984902,0.0013247773,0.00018498035,0
16,A Nigguh spitting dat crack to your bitch,white,man,mod-liberal,1.0,0.9984902,0.0013247773,0.00018498035,0
17,RT @YoungAmari_: Dizzy bitch &#128530;&#128564;,white,woman,liberal,0.0,0.99413353,0.004567925,0.0012985478,0
18,RT @YoungAmari_: Dizzy bitch &#128530;&#128564;,white,woman,other,1.0,0.99413353,0.004567925,0.0012985478,0
19,RT @YoungAmari_: Dizzy bitch &#128530;&#128564;,white,woman,liberal,0.5,0.99413353,0.004567925,0.0012985478,0
20,RT @lesxo_: cant turn a hoe into a husband either,white,woman,liberal,1.0,0.00081523764,0.0018371664,0.9973476,2
21,RT @lesxo_: cant turn a hoe into a husband either,white,woman,liberal,1.0,0.00081523764,0.0018371664,0.9973476,2
22,"""@ReachtheeCLIMAX: bitches can't cook but know how to suck dick .."" s/o to the ones that can do both!",white,woman,liberal,1.0,0.97993565,0.0018335187,0.01823079,0
23,"""@ReachtheeCLIMAX: bitches can't cook but know how to suck dick .."" s/o to the ones that can do both!",white,woman,liberal,1.0,0.97993565,0.0018335187,0.01823079,0
24,"Like the hoes when they lay w/ me.. Puppy eyes when I go, Sayin stay wit me",white,man,mod-liberal,0.0,0.37604934,0.00877501,0.61517566,2
25,"Like the hoes when they lay w/ me.. Puppy eyes when I go, Sayin stay wit me",asian,man,liberal,0.0,0.37604934,0.00877501,0.61517566,2
26,"Like the hoes when they lay w/ me.. Puppy eyes when I go, Sayin stay wit me",white,woman,liberal,0.0,0.37604934,0.00877501,0.61517566,2
27,RT @blackrepublican: Spike Lee is one of those [wealthy] people he bitches about that's causing gentrification.,white,woman,liberal,,0.9834826,0.014991842,0.0015255423,0
28,RT @blackrepublican: Spike Lee is one of those [wealthy] people he bitches about that's causing gentrification.,white,woman,other,1.0,0.9834826,0.014991842,0.0015255423,0
29,RT @blackrepublican: Spike Lee is one of those [wealthy] people he bitches about that's causing gentrification.,white,woman,na,0.0,0.9834826,0.014991842,0.0015255423,0
30,"Dear Utah Polynesians: Again, stop acting black and speaking ghetto. Speak FOB, you ain't no ghetto niggaz.",black,woman,mod-liberal,1.0,0.9976896,0.0018234946,0.00048696756,0
31,"Dear Utah Polynesians: Again, stop acting black and speaking ghetto. Speak FOB, you ain't no ghetto niggaz.",black,woman,mod-liberal,1.0,0.9976896,0.0018234946,0.00048696756,0
32,i ran out &#128553; RT @sadonna_rae: This hoe just texted me asking to borrow a roll of tissue until tomorrow &#128555;&#128555;&#128557;&#128557;&#128557;,white,woman,liberal,0.0,0.00020645162,0.0008624297,0.9989311,2
33,i ran out &#128553; RT @sadonna_rae: This hoe just texted me asking to borrow a roll of tissue until tomorrow &#128555;&#128555;&#128557;&#128557;&#128557;,white,man,cons,0.5,0.00020645162,0.0008624297,0.9989311,2
34,i ran out &#128553; RT @sadonna_rae: This hoe just texted me asking to borrow a roll of tissue until tomorrow &#128555;&#128555;&#128557;&#128557;&#128557;,white,man,liberal,0.0,0.00020645162,0.0008624297,0.9989311,2
35,Niggas swear they don't trust these hoes but be fucking raw &#128528;&#128514;smh,white,woman,liberal,0.0,0.9988961,0.00077911303,0.00032478262,0
36,Niggas swear they don't trust these hoes but be fucking raw &#128528;&#128514;smh,white,woman,liberal,0.5,0.9988961,0.00077911303,0.00032478262,0
37,Niggas swear they don't trust these hoes but be fucking raw &#128528;&#128514;smh,white,man,mod-liberal,0.0,0.9988961,0.00077911303,0.00032478262,0
38,@YourDudeFerg gay fags,white,woman,liberal,1.0,0.9730033,0.024263697,0.002732966,0
39,@YourDudeFerg gay fags,white,woman,liberal,1.0,0.9730033,0.024263697,0.002732966,0
40,@YourDudeFerg gay fags,white,woman,mod-cons,0.5,0.9730033,0.024263697,0.002732966,0
41,@YourDudeFerg gay fags,white,woman,mod-cons,0.5,0.9730033,0.024263697,0.002732966,0
42,@YourDudeFerg gay fags,white,woman,liberal,1.0,0.9730033,0.024263697,0.002732966,0
43,@YourDudeFerg gay fags,white,woman,liberal,1.0,0.9730033,0.024263697,0.002732966,0
44,RT @iLikeWGW: retweet for big booty bitches,white,woman,other,0.0,0.0064567127,0.0009940445,0.9925492,2
45,RT @iLikeWGW: retweet for big booty bitches,white,woman,liberal,1.0,0.0064567127,0.0009940445,0.9925492,2
